

 37%|██████████████████████████████▏                                                   | 92/250 [06:10<10:42,  4.07s/it, loss_test=0.081]

 37%|██████████████████████████████▌                                                   | 93/250 [06:14<10:40,  4.08s/it, loss_test=0.081]
Epoch: 92, Training Loss: 0.0790, Test Loss: 0.0810

 38%|██████████████████████████████▊                                                   | 94/250 [06:18<10:37,  4.09s/it, loss_test=0.081]

 38%|███████████████████████████████▏                                                  | 95/250 [06:22<10:36,  4.10s/it, loss_test=0.081]

 38%|███████████████████████████████▍                                                  | 96/250 [06:27<10:37,  4.14s/it, loss_test=0.081]

 39%|███████████████████████████████▊                                                  | 97/250 [06:31<10:29,  4.12s/it, loss_test=0.081]

 39%|████████████████████████████████▏                                                 | 98/250 [06:35<10:25,  4.11s/it, loss_test=0.081]

 40%|████████████████████████████████▍                                                 | 99/250 [06:39<10:17,  4.09s/it, loss_test=0.081]

 40%|████████████████████████████████▍                                                | 100/250 [06:43<10:11,  4.08s/it, loss_test=0.081]

 40%|████████████████████████████████▋                                                | 101/250 [06:47<10:04,  4.06s/it, loss_test=0.081]

 41%|█████████████████████████████████                                                | 102/250 [06:51<09:59,  4.05s/it, loss_test=0.081]

 41%|█████████████████████████████████▎                                               | 103/250 [06:55<09:56,  4.06s/it, loss_test=0.081]

 42%|█████████████████████████████████▋                                               | 104/250 [06:59<09:52,  4.06s/it, loss_test=0.081]

 42%|██████████████████████████████████                                               | 105/250 [07:03<09:48,  4.06s/it, loss_test=0.081]

 42%|██████████████████████████████████▎                                              | 106/250 [07:07<09:43,  4.05s/it, loss_test=0.081]

 43%|██████████████████████████████████▋                                              | 107/250 [07:11<09:40,  4.06s/it, loss_test=0.081]

 43%|██████████████████████████████████▉                                              | 108/250 [07:15<09:35,  4.05s/it, loss_test=0.081]

 44%|███████████████████████████████████▎                                             | 109/250 [07:19<09:30,  4.05s/it, loss_test=0.081]

 44%|███████████████████████████████████▋                                             | 110/250 [07:23<09:28,  4.06s/it, loss_test=0.081]

 44%|███████████████████████████████████▉                                             | 111/250 [07:27<09:24,  4.06s/it, loss_test=0.081]

 45%|████████████████████████████████████▎                                            | 112/250 [07:31<09:19,  4.05s/it, loss_test=0.081]

 45%|████████████████████████████████████▌                                            | 113/250 [07:35<09:15,  4.06s/it, loss_test=0.081]

 46%|████████████████████████████████████▉                                            | 114/250 [07:39<09:08,  4.03s/it, loss_test=0.081]

 46%|█████████████████████████████████████▎                                           | 115/250 [07:43<09:02,  4.02s/it, loss_test=0.081]

 46%|█████████████████████████████████████▌                                           | 116/250 [07:47<08:59,  4.03s/it, loss_test=0.081]

 47%|█████████████████████████████████████▉                                           | 117/250 [07:52<08:59,  4.05s/it, loss_test=0.081]

 47%|██████████████████████████████████████▏                                          | 118/250 [07:56<08:55,  4.06s/it, loss_test=0.081]
Epoch: 118, Training Loss: 0.0786, Test Loss: 0.0811

 48%|██████████████████████████████████████▉                                          | 120/250 [08:04<08:47,  4.06s/it, loss_test=0.081]

 48%|███████████████████████████████████████▏                                         | 121/250 [08:08<08:45,  4.08s/it, loss_test=0.081]


 49%|███████████████████████████████████████▊                                         | 123/250 [08:16<08:35,  4.06s/it, loss_test=0.081]
Epoch: 122, Training Loss: 0.0786, Test Loss: 0.0810


 50%|████████████████████████████████████████▌                                        | 125/250 [08:24<08:23,  4.03s/it, loss_test=0.081]
Epoch: 124, Training Loss: 0.0785, Test Loss: 0.0811

 50%|████████████████████████████████████████▊                                        | 126/250 [08:28<08:18,  4.02s/it, loss_test=0.081]

 51%|█████████████████████████████████████████▏                                       | 127/250 [08:32<08:12,  4.01s/it, loss_test=0.081]

 51%|█████████████████████████████████████████▍                                       | 128/250 [08:36<08:08,  4.00s/it, loss_test=0.081]


 52%|██████████████████████████████████████████                                       | 130/250 [08:44<08:03,  4.03s/it, loss_test=0.081]

 52%|██████████████████████████████████████████▍                                      | 131/250 [08:48<08:02,  4.05s/it, loss_test=0.081]

 53%|██████████████████████████████████████████▊                                      | 132/250 [08:52<07:54,  4.02s/it, loss_test=0.081]

 53%|███████████████████████████████████████████                                      | 133/250 [08:56<07:49,  4.01s/it, loss_test=0.081]

 54%|███████████████████████████████████████████▍                                     | 134/250 [09:00<07:49,  4.05s/it, loss_test=0.081]
Epoch: 133, Training Loss: 0.0784, Test Loss: 0.0812

 54%|███████████████████████████████████████████▋                                     | 135/250 [09:04<07:48,  4.08s/it, loss_test=0.081]

 54%|████████████████████████████████████████████                                     | 136/250 [09:09<07:47,  4.10s/it, loss_test=0.081]

 55%|████████████████████████████████████████████▍                                    | 137/250 [09:13<07:43,  4.11s/it, loss_test=0.081]

 55%|████████████████████████████████████████████▋                                    | 138/250 [09:17<07:38,  4.10s/it, loss_test=0.081]

 56%|█████████████████████████████████████████████                                    | 139/250 [09:21<07:35,  4.11s/it, loss_test=0.081]

 56%|█████████████████████████████████████████████▎                                   | 140/250 [09:25<07:32,  4.11s/it, loss_test=0.081]

 56%|█████████████████████████████████████████████▋                                   | 141/250 [09:29<07:24,  4.08s/it, loss_test=0.081]

