
  0%|                                                                                                                            | 0/250 [00:00<?, ?it/s]

  0%|▍                                                                                                  | 1/250 [00:04<18:00,  4.34s/it, loss_test=1.005]
 28%|███████████████████████████                                                                       | 69/250 [04:54<13:03,  4.33s/it, loss_test=0.199]

 28%|███████████████████████████▍                                                                      | 70/250 [04:58<12:56,  4.31s/it, loss_test=0.199]

 28%|███████████████████████████▊                                                                      | 71/250 [05:02<12:54,  4.33s/it, loss_test=0.200]

 29%|████████████████████████████▏                                                                     | 72/250 [05:07<12:49,  4.32s/it, loss_test=0.199]

 29%|████████████████████████████▌                                                                     | 73/250 [05:11<12:43,  4.31s/it, loss_test=0.200]

 30%|█████████████████████████████                                                                     | 74/250 [05:15<12:36,  4.30s/it, loss_test=0.200]

 30%|█████████████████████████████▍                                                                    | 75/250 [05:20<12:36,  4.32s/it, loss_test=0.200]

 30%|█████████████████████████████▊                                                                    | 76/250 [05:24<12:27,  4.30s/it, loss_test=0.200]

 31%|██████████████████████████████▏                                                                   | 77/250 [05:28<12:23,  4.30s/it, loss_test=0.200]

 31%|██████████████████████████████▌                                                                   | 78/250 [05:32<12:18,  4.30s/it, loss_test=0.201]


 32%|██████████████████████████████▉                                                                   | 79/250 [05:37<12:16,  4.31s/it, loss_test=0.201]

 32%|███████████████████████████████▎                                                                  | 80/250 [05:41<12:14,  4.32s/it, loss_test=0.201]

 32%|███████████████████████████████▊                                                                  | 81/250 [05:45<12:03,  4.28s/it, loss_test=0.201]

 33%|████████████████████████████████▏                                                                 | 82/250 [05:50<11:56,  4.26s/it, loss_test=0.202]

 33%|████████████████████████████████▌                                                                 | 83/250 [05:54<11:45,  4.22s/it, loss_test=0.202]

 34%|████████████████████████████████▉                                                                 | 84/250 [05:58<11:37,  4.20s/it, loss_test=0.202]

 34%|█████████████████████████████████▎                                                                | 85/250 [06:02<11:31,  4.19s/it, loss_test=0.202]

 34%|█████████████████████████████████▋                                                                | 86/250 [06:06<11:23,  4.17s/it, loss_test=0.202]

 35%|██████████████████████████████████                                                                | 87/250 [06:10<11:17,  4.16s/it, loss_test=0.203]

 35%|██████████████████████████████████▍                                                               | 88/250 [06:14<11:19,  4.19s/it, loss_test=0.203]

 36%|██████████████████████████████████▉                                                               | 89/250 [06:19<11:17,  4.21s/it, loss_test=0.203]

 36%|███████████████████████████████████▎                                                              | 90/250 [06:23<11:15,  4.22s/it, loss_test=0.203]

 36%|███████████████████████████████████▋                                                              | 91/250 [06:27<11:13,  4.24s/it, loss_test=0.204]

 37%|████████████████████████████████████                                                              | 92/250 [06:32<11:12,  4.26s/it, loss_test=0.204]

 37%|████████████████████████████████████▍                                                             | 93/250 [06:36<11:10,  4.27s/it, loss_test=0.204]

 38%|████████████████████████████████████▊                                                             | 94/250 [06:40<11:07,  4.28s/it, loss_test=0.204]

 38%|█████████████████████████████████████▏                                                            | 95/250 [06:44<11:05,  4.29s/it, loss_test=0.204]

 38%|█████████████████████████████████████▋                                                            | 96/250 [06:49<11:01,  4.30s/it, loss_test=0.205]

 39%|██████████████████████████████████████                                                            | 97/250 [06:53<10:57,  4.30s/it, loss_test=0.205]

 39%|██████████████████████████████████████▍                                                           | 98/250 [06:58<10:58,  4.33s/it, loss_test=0.206]

 40%|██████████████████████████████████████▊                                                           | 99/250 [07:02<10:53,  4.33s/it, loss_test=0.206]
Epoch: 98, Training Loss: 0.1758, Test Loss: 0.2056

 40%|██████████████████████████████████████▊                                                          | 100/250 [07:06<10:53,  4.36s/it, loss_test=0.206]

 40%|███████████████████████████████████████▏                                                         | 101/250 [07:11<10:47,  4.35s/it, loss_test=0.206]

 41%|███████████████████████████████████████▌                                                         | 102/250 [07:15<10:41,  4.33s/it, loss_test=0.206]

 41%|███████████████████████████████████████▉                                                         | 103/250 [07:19<10:33,  4.31s/it, loss_test=0.207]

