
  0%|                                                                                                                  | 0/250 [00:00<?, ?it/s]

 24%|█████████████████████                                                                   | 60/250 [05:50<18:40,  5.90s/it, loss_test=0.459]

 24%|█████████████████████▍                                                                  | 61/250 [05:55<18:33,  5.89s/it, loss_test=0.460]

 25%|█████████████████████▊                                                                  | 62/250 [06:01<18:25,  5.88s/it, loss_test=0.460]

 25%|██████████████████████▏                                                                 | 63/250 [06:07<18:19,  5.88s/it, loss_test=0.462]

 26%|██████████████████████▌                                                                 | 64/250 [06:13<18:13,  5.88s/it, loss_test=0.462]

 26%|██████████████████████▉                                                                 | 65/250 [06:19<18:05,  5.87s/it, loss_test=0.463]

 26%|███████████████████████▏                                                                | 66/250 [06:25<17:59,  5.87s/it, loss_test=0.464]

 27%|███████████████████████▌                                                                | 67/250 [06:31<17:57,  5.89s/it, loss_test=0.464]

 27%|███████████████████████▉                                                                | 68/250 [06:37<17:56,  5.92s/it, loss_test=0.465]

 28%|████████████████████████▎                                                               | 69/250 [06:43<17:50,  5.91s/it, loss_test=0.466]

 28%|████████████████████████▋                                                               | 70/250 [06:48<17:39,  5.89s/it, loss_test=0.467]


 29%|█████████████████████████▎                                                              | 72/250 [07:00<17:21,  5.85s/it, loss_test=0.470]

 29%|█████████████████████████▋                                                              | 73/250 [07:06<17:16,  5.85s/it, loss_test=0.469]

 30%|██████████████████████████                                                              | 74/250 [07:12<17:14,  5.88s/it, loss_test=0.472]
Epoch: 73, Training Loss: 0.3638, Test Loss: 0.4719

 30%|██████████████████████████▍                                                             | 75/250 [07:18<17:09,  5.88s/it, loss_test=0.470]

 30%|██████████████████████████▊                                                             | 76/250 [07:24<17:03,  5.88s/it, loss_test=0.473]

 31%|███████████████████████████                                                             | 77/250 [07:30<17:00,  5.90s/it, loss_test=0.471]

 31%|███████████████████████████▍                                                            | 78/250 [07:35<16:46,  5.85s/it, loss_test=0.474]

 32%|███████████████████████████▊                                                            | 79/250 [07:41<16:40,  5.85s/it, loss_test=0.474]

 32%|████████████████████████████▏                                                           | 80/250 [07:47<16:35,  5.86s/it, loss_test=0.474]

 32%|████████████████████████████▌                                                           | 81/250 [07:53<16:31,  5.87s/it, loss_test=0.475]

 33%|████████████████████████████▊                                                           | 82/250 [07:59<16:27,  5.88s/it, loss_test=0.476]

