

 26%|███████████████████████▏                                                                | 66/250 [06:34<18:03,  5.89s/it, loss_test=0.421]


 27%|███████████████████████▉                                                                | 68/250 [06:40<17:57,  5.92s/it, loss_test=0.421]

 28%|████████████████████████▎                                                               | 69/250 [06:46<17:50,  5.91s/it, loss_test=0.421]

 28%|████████████████████████▋                                                               | 70/250 [06:52<17:45,  5.92s/it, loss_test=0.421]

 28%|████████████████████████▉                                                               | 71/250 [06:58<17:44,  5.95s/it, loss_test=0.421]

 29%|█████████████████████████▎                                                              | 72/250 [07:04<17:39,  5.95s/it, loss_test=0.421]

 29%|█████████████████████████▋                                                              | 73/250 [07:10<17:34,  5.96s/it, loss_test=0.422]

 30%|██████████████████████████                                                              | 74/250 [07:16<17:27,  5.95s/it, loss_test=0.421]

 30%|██████████████████████████▍                                                             | 75/250 [07:22<17:27,  5.99s/it, loss_test=0.422]
Epoch: 74, Training Loss: 0.4008, Test Loss: 0.4216

 30%|██████████████████████████▊                                                             | 76/250 [07:28<17:15,  5.95s/it, loss_test=0.422]

 31%|███████████████████████████                                                             | 77/250 [07:34<17:03,  5.92s/it, loss_test=0.422]

 31%|███████████████████████████▍                                                            | 78/250 [07:40<16:55,  5.90s/it, loss_test=0.423]

 32%|███████████████████████████▊                                                            | 79/250 [07:45<16:49,  5.90s/it, loss_test=0.422]

 32%|████████████████████████████▏                                                           | 80/250 [07:51<16:43,  5.90s/it, loss_test=0.422]

 32%|████████████████████████████▌                                                           | 81/250 [07:57<16:33,  5.88s/it, loss_test=0.422]

 33%|████████████████████████████▊                                                           | 82/250 [08:03<16:31,  5.90s/it, loss_test=0.423]

 33%|█████████████████████████████▏                                                          | 83/250 [08:09<16:29,  5.93s/it, loss_test=0.423]

 34%|█████████████████████████████▌                                                          | 84/250 [08:15<16:25,  5.94s/it, loss_test=0.423]

 34%|█████████████████████████████▉                                                          | 85/250 [08:21<16:19,  5.94s/it, loss_test=0.423]

 34%|██████████████████████████████▎                                                         | 86/250 [08:27<16:15,  5.95s/it, loss_test=0.423]

 35%|██████████████████████████████▌                                                         | 87/250 [08:33<16:08,  5.94s/it, loss_test=0.424]

 35%|██████████████████████████████▉                                                         | 88/250 [08:39<16:03,  5.95s/it, loss_test=0.424]

 36%|███████████████████████████████▎                                                        | 89/250 [08:45<15:54,  5.93s/it, loss_test=0.424]

 36%|███████████████████████████████▋                                                        | 90/250 [08:51<15:48,  5.93s/it, loss_test=0.424]


 37%|████████████████████████████████▍                                                       | 92/250 [09:02<15:28,  5.88s/it, loss_test=0.425]

 37%|████████████████████████████████▋                                                       | 93/250 [09:08<15:23,  5.88s/it, loss_test=0.425]

 38%|█████████████████████████████████                                                       | 94/250 [09:14<15:16,  5.87s/it, loss_test=0.425]
Epoch: 93, Training Loss: 0.3979, Test Loss: 0.4246

 38%|█████████████████████████████████▍                                                      | 95/250 [09:20<15:10,  5.87s/it, loss_test=0.425]

 38%|█████████████████████████████████▊                                                      | 96/250 [09:26<15:00,  5.85s/it, loss_test=0.425]

 39%|██████████████████████████████████▏                                                     | 97/250 [09:32<14:59,  5.88s/it, loss_test=0.425]

 39%|██████████████████████████████████▍                                                     | 98/250 [09:38<14:57,  5.90s/it, loss_test=0.425]

 40%|██████████████████████████████████▊                                                     | 99/250 [09:44<14:54,  5.93s/it, loss_test=0.426]

 40%|██████████████████████████████████▊                                                    | 100/250 [09:50<14:54,  5.97s/it, loss_test=0.426]

 40%|███████████████████████████████████▏                                                   | 101/250 [09:56<14:54,  6.00s/it, loss_test=0.426]

 41%|███████████████████████████████████▍                                                   | 102/250 [10:02<14:45,  5.99s/it, loss_test=0.426]

 41%|███████████████████████████████████▊                                                   | 103/250 [10:08<14:40,  5.99s/it, loss_test=0.426]

 42%|████████████████████████████████████▏                                                  | 104/250 [10:14<14:31,  5.97s/it, loss_test=0.426]

 42%|████████████████████████████████████▌                                                  | 105/250 [10:20<14:28,  5.99s/it, loss_test=0.426]

 42%|████████████████████████████████████▉                                                  | 106/250 [10:26<14:19,  5.97s/it, loss_test=0.427]

 43%|█████████████████████████████████████▏                                                 | 107/250 [10:32<14:10,  5.95s/it, loss_test=0.427]

 43%|█████████████████████████████████████▌                                                 | 108/250 [10:38<14:09,  5.98s/it, loss_test=0.427]

 44%|█████████████████████████████████████▉                                                 | 109/250 [10:44<14:00,  5.96s/it, loss_test=0.427]

 44%|██████████████████████████████████████▎                                                | 110/250 [10:49<13:51,  5.94s/it, loss_test=0.428]

 44%|██████████████████████████████████████▋                                                | 111/250 [10:55<13:45,  5.94s/it, loss_test=0.428]

 45%|██████████████████████████████████████▉                                                | 112/250 [11:01<13:40,  5.95s/it, loss_test=0.428]

 45%|███████████████████████████████████████▎                                               | 113/250 [11:07<13:32,  5.93s/it, loss_test=0.428]

 46%|███████████████████████████████████████▋                                               | 114/250 [11:13<13:22,  5.90s/it, loss_test=0.428]

 46%|████████████████████████████████████████                                               | 115/250 [11:19<13:15,  5.90s/it, loss_test=0.428]

 46%|████████████████████████████████████████▎                                              | 116/250 [11:25<13:12,  5.91s/it, loss_test=0.428]

 47%|████████████████████████████████████████▋                                              | 117/250 [11:31<13:07,  5.92s/it, loss_test=0.430]

 47%|█████████████████████████████████████████                                              | 118/250 [11:37<13:00,  5.92s/it, loss_test=0.429]

 48%|█████████████████████████████████████████▍                                             | 119/250 [11:43<13:02,  5.98s/it, loss_test=0.429]

 48%|█████████████████████████████████████████▊                                             | 120/250 [11:49<12:56,  5.97s/it, loss_test=0.429]


 48%|██████████████████████████████████████████                                             | 121/250 [12:01<12:48,  5.95s/it, loss_test=0.429]


 49%|██████████████████████████████████████████▊                                            | 123/250 [12:07<12:33,  5.93s/it, loss_test=0.429]

 50%|███████████████████████████████████████████▏                                           | 124/250 [12:12<12:27,  5.94s/it, loss_test=0.429]

 50%|███████████████████████████████████████████▌                                           | 125/250 [12:18<12:22,  5.94s/it, loss_test=0.430]

 50%|███████████████████████████████████████████▊                                           | 126/250 [12:24<12:14,  5.92s/it, loss_test=0.431]

 51%|████████████████████████████████████████████▏                                          | 127/250 [12:30<12:12,  5.96s/it, loss_test=0.430]
Epoch: 126, Training Loss: 0.3931, Test Loss: 0.4304

 51%|████████████████████████████████████████████▌                                          | 128/250 [12:36<12:03,  5.93s/it, loss_test=0.431]

 52%|████████████████████████████████████████████▉                                          | 129/250 [12:42<11:55,  5.92s/it, loss_test=0.430]

 52%|█████████████████████████████████████████████▏                                         | 130/250 [12:48<11:47,  5.89s/it, loss_test=0.431]
