

 37%|████████████████████████████████▍                                                       | 92/250 [05:44<09:59,  3.80s/it, loss_test=0.096]
Epoch: 91, Training Loss: 0.0886, Test Loss: 0.0957

 37%|████████████████████████████████▋                                                       | 93/250 [05:48<09:56,  3.80s/it, loss_test=0.096]

 38%|█████████████████████████████████                                                       | 94/250 [05:51<09:51,  3.79s/it, loss_test=0.096]

 38%|█████████████████████████████████▍                                                      | 95/250 [05:55<09:51,  3.82s/it, loss_test=0.096]

 38%|█████████████████████████████████▊                                                      | 96/250 [05:59<09:45,  3.80s/it, loss_test=0.096]

 39%|██████████████████████████████████▏                                                     | 97/250 [06:03<09:34,  3.76s/it, loss_test=0.096]


 40%|██████████████████████████████████▊                                                     | 99/250 [06:10<09:21,  3.72s/it, loss_test=0.096]
Epoch: 98, Training Loss: 0.0883, Test Loss: 0.0961

 40%|██████████████████████████████████▊                                                    | 100/250 [06:14<09:14,  3.69s/it, loss_test=0.096]

 40%|███████████████████████████████████▏                                                   | 101/250 [06:17<09:11,  3.70s/it, loss_test=0.096]

 41%|███████████████████████████████████▍                                                   | 102/250 [06:21<09:13,  3.74s/it, loss_test=0.096]

 41%|███████████████████████████████████▊                                                   | 103/250 [06:25<09:10,  3.74s/it, loss_test=0.096]

 42%|████████████████████████████████████▏                                                  | 104/250 [06:29<09:08,  3.76s/it, loss_test=0.096]


 42%|████████████████████████████████████▉                                                  | 106/250 [06:36<08:57,  3.73s/it, loss_test=0.096]

 43%|█████████████████████████████████████▏                                                 | 107/250 [06:40<08:52,  3.72s/it, loss_test=0.097]
Epoch: 106, Training Loss: 0.0880, Test Loss: 0.0966

 43%|█████████████████████████████████████▌                                                 | 108/250 [06:44<08:47,  3.71s/it, loss_test=0.097]

 44%|█████████████████████████████████████▉                                                 | 109/250 [06:47<08:42,  3.71s/it, loss_test=0.097]

 44%|██████████████████████████████████████▎                                                | 110/250 [06:51<08:38,  3.70s/it, loss_test=0.097]

 44%|██████████████████████████████████████▋                                                | 111/250 [06:55<08:33,  3.69s/it, loss_test=0.097]


 45%|███████████████████████████████████████▎                                               | 113/250 [07:02<08:30,  3.73s/it, loss_test=0.097]

 46%|███████████████████████████████████████▋                                               | 114/250 [07:06<08:25,  3.72s/it, loss_test=0.097]
