

 32%|██████████████████████████████▉                                                                   | 79/250 [06:17<12:55,  4.53s/it, loss_test=0.195]

 32%|███████████████████████████████▎                                                                  | 80/250 [06:22<12:53,  4.55s/it, loss_test=0.194]

 32%|███████████████████████████████▊                                                                  | 81/250 [06:26<12:55,  4.59s/it, loss_test=0.195]

 33%|████████████████████████████████▏                                                                 | 82/250 [06:31<12:50,  4.59s/it, loss_test=0.195]

 33%|████████████████████████████████▌                                                                 | 83/250 [06:35<12:38,  4.54s/it, loss_test=0.195]

 34%|████████████████████████████████▉                                                                 | 84/250 [06:40<12:52,  4.66s/it, loss_test=0.195]

 34%|█████████████████████████████████▎                                                                | 85/250 [06:45<13:01,  4.74s/it, loss_test=0.195]

 34%|█████████████████████████████████▋                                                                | 86/250 [06:50<12:45,  4.67s/it, loss_test=0.196]

 35%|██████████████████████████████████                                                                | 87/250 [06:54<12:31,  4.61s/it, loss_test=0.196]

 35%|██████████████████████████████████▍                                                               | 88/250 [06:59<12:24,  4.59s/it, loss_test=0.196]

 36%|██████████████████████████████████▉                                                               | 89/250 [07:03<12:23,  4.62s/it, loss_test=0.196]

 36%|███████████████████████████████████▎                                                              | 90/250 [07:09<12:44,  4.78s/it, loss_test=0.196]


 37%|████████████████████████████████████                                                              | 92/250 [07:18<12:28,  4.74s/it, loss_test=0.196]
Epoch: 91, Training Loss: 0.1744, Test Loss: 0.1963


 38%|████████████████████████████████████▊                                                             | 94/250 [07:28<12:36,  4.85s/it, loss_test=0.197]
Epoch: 93, Training Loss: 0.1740, Test Loss: 0.1967

 38%|█████████████████████████████████████▏                                                            | 95/250 [07:33<12:31,  4.85s/it, loss_test=0.197]

 38%|█████████████████████████████████████▋                                                            | 96/250 [07:38<12:27,  4.86s/it, loss_test=0.198]

 39%|██████████████████████████████████████                                                            | 97/250 [07:43<12:25,  4.87s/it, loss_test=0.197]

 39%|██████████████████████████████████████▍                                                           | 98/250 [07:48<12:43,  5.02s/it, loss_test=0.198]

 40%|██████████████████████████████████████▊                                                           | 99/250 [07:53<12:14,  4.87s/it, loss_test=0.198]

 40%|██████████████████████████████████████▊                                                          | 100/250 [07:57<11:55,  4.77s/it, loss_test=0.198]


 41%|███████████████████████████████████████▌                                                         | 102/250 [08:06<11:29,  4.66s/it, loss_test=0.199]
