

 36%|█████████████████████████████▌                                                    | 90/250 [06:40<11:50,  4.44s/it, loss_test=0.187]

 36%|█████████████████████████████▊                                                    | 91/250 [06:45<11:50,  4.47s/it, loss_test=0.187]

 37%|██████████████████████████████▏                                                   | 92/250 [06:49<11:45,  4.46s/it, loss_test=0.187]

 37%|██████████████████████████████▌                                                   | 93/250 [06:54<11:48,  4.51s/it, loss_test=0.187]

 38%|██████████████████████████████▊                                                   | 94/250 [06:59<11:49,  4.55s/it, loss_test=0.187]

 38%|███████████████████████████████▏                                                  | 95/250 [07:03<11:41,  4.53s/it, loss_test=0.187]

 38%|███████████████████████████████▍                                                  | 96/250 [07:08<11:32,  4.50s/it, loss_test=0.187]

 39%|███████████████████████████████▊                                                  | 97/250 [07:12<11:27,  4.49s/it, loss_test=0.187]

 39%|████████████████████████████████▏                                                 | 98/250 [07:17<11:27,  4.52s/it, loss_test=0.187]

 40%|████████████████████████████████▍                                                 | 99/250 [07:21<11:24,  4.54s/it, loss_test=0.187]

 40%|████████████████████████████████▍                                                | 100/250 [07:26<11:13,  4.49s/it, loss_test=0.187]

 40%|████████████████████████████████▋                                                | 101/250 [07:30<11:07,  4.48s/it, loss_test=0.187]

 41%|█████████████████████████████████                                                | 102/250 [07:35<11:03,  4.48s/it, loss_test=0.187]

 41%|█████████████████████████████████▎                                               | 103/250 [07:39<10:55,  4.46s/it, loss_test=0.187]

 42%|█████████████████████████████████▋                                               | 104/250 [07:44<10:55,  4.49s/it, loss_test=0.187]

 42%|██████████████████████████████████                                               | 105/250 [07:48<10:52,  4.50s/it, loss_test=0.187]

 42%|██████████████████████████████████▎                                              | 106/250 [07:53<10:46,  4.49s/it, loss_test=0.187]

 44%|███████████████████████████████████▎                                             | 109/250 [08:06<10:32,  4.49s/it, loss_test=0.187]
Epoch: 106, Training Loss: 0.1808, Test Loss: 0.1869
Epoch: 107, Training Loss: 0.1808, Test Loss: 0.1870
Epoch: 108, Training Loss: 0.1807, Test Loss: 0.1870


 44%|███████████████████████████████████▉                                             | 111/250 [08:15<10:21,  4.47s/it, loss_test=0.187]

 45%|████████████████████████████████████▎                                            | 112/250 [08:19<10:15,  4.46s/it, loss_test=0.187]

 45%|████████████████████████████████████▌                                            | 113/250 [08:24<10:07,  4.43s/it, loss_test=0.187]

 46%|████████████████████████████████████▉                                            | 114/250 [08:28<10:01,  4.42s/it, loss_test=0.187]

 46%|█████████████████████████████████████▎                                           | 115/250 [08:33<09:56,  4.42s/it, loss_test=0.187]

 46%|█████████████████████████████████████▌                                           | 116/250 [08:37<09:49,  4.40s/it, loss_test=0.187]

 47%|█████████████████████████████████████▉                                           | 117/250 [08:41<09:42,  4.38s/it, loss_test=0.187]

 47%|██████████████████████████████████████▏                                          | 118/250 [08:46<09:37,  4.37s/it, loss_test=0.187]

 48%|██████████████████████████████████████▌                                          | 119/250 [08:50<09:35,  4.39s/it, loss_test=0.187]

 48%|██████████████████████████████████████▉                                          | 120/250 [08:55<09:35,  4.43s/it, loss_test=0.187]

 48%|███████████████████████████████████████▏                                         | 121/250 [08:59<09:32,  4.44s/it, loss_test=0.187]

 49%|███████████████████████████████████████▌                                         | 122/250 [09:03<09:28,  4.44s/it, loss_test=0.187]

 49%|███████████████████████████████████████▊                                         | 123/250 [09:08<09:26,  4.46s/it, loss_test=0.188]
Epoch: 122, Training Loss: 0.1803, Test Loss: 0.1875


 50%|████████████████████████████████████████▌                                        | 125/250 [09:17<09:19,  4.48s/it, loss_test=0.187]

 50%|████████████████████████████████████████▊                                        | 126/250 [09:21<09:18,  4.50s/it, loss_test=0.187]

 51%|█████████████████████████████████████████▏                                       | 127/250 [09:26<09:14,  4.50s/it, loss_test=0.187]
Epoch: 126, Training Loss: 0.1802, Test Loss: 0.1873


 52%|█████████████████████████████████████████▊                                       | 129/250 [09:35<09:05,  4.51s/it, loss_test=0.187]

 52%|██████████████████████████████████████████                                       | 130/250 [09:40<09:02,  4.52s/it, loss_test=0.187]

 52%|██████████████████████████████████████████▍                                      | 131/250 [09:44<08:58,  4.53s/it, loss_test=0.187]

 53%|██████████████████████████████████████████▊                                      | 132/250 [09:49<08:54,  4.53s/it, loss_test=0.187]

 53%|███████████████████████████████████████████                                      | 133/250 [09:53<08:47,  4.51s/it, loss_test=0.188]

 54%|███████████████████████████████████████████▍                                     | 134/250 [09:58<08:42,  4.50s/it, loss_test=0.187]

 54%|███████████████████████████████████████████▋                                     | 135/250 [10:02<08:35,  4.48s/it, loss_test=0.188]
Epoch: 134, Training Loss: 0.1799, Test Loss: 0.1876


 55%|████████████████████████████████████████████▍                                    | 137/250 [10:11<08:27,  4.49s/it, loss_test=0.188]

 55%|████████████████████████████████████████████▋                                    | 138/250 [10:15<08:18,  4.45s/it, loss_test=0.188]

 56%|█████████████████████████████████████████████                                    | 139/250 [10:20<08:17,  4.48s/it, loss_test=0.188]

